Monat,Durchfluss_m3s,Datum
09/1978,0.9483999999999999,1978-09-01
10/1978,1.5291749999999997,1978-10-01
11/1978,-0.13687499999999986,1978-11-01
12/1978,-0.09777500000000039,1978-12-01
01/1979,0.5333749999999999,1979-01-01
02/1979,-0.5662250000000006,1979-02-01
03/1979,0.43379999999999974,1979-03-01
04/1979,0.7203500000000003,1979-04-01
05/1979,-0.25722500000000004,1979-05-01
06/1979,-0.3908750000000002,1979-06-01
07/1979,-0.3018250000000001,1979-07-01
08/1979,-0.1613,1979-08-01
09/1979,0.8844000000000001,1979-09-01
10/1979,0.21217499999999978,1979-10-01
11/1979,-0.26887499999999986,1979-11-01
12/1979,0.5242249999999995,1979-12-01
01/1980,-0.7616250000000001,1980-01-01
02/1980,0.8777749999999993,1980-02-01
03/1980,-0.8502000000000003,1980-03-01
04/1980,0.45935000000000015,1980-04-01
05/1980,1.398775,1980-05-01
06/1980,-0.48187500000000016,1980-06-01
07/1980,2.5471749999999997,1980-07-01
08/1980,0.01969999999999994,1980-08-01
09/1980,-0.0726,1980-09-01
10/1980,0.2341749999999998,1980-10-01
11/1980,0.1881250000000002,1980-11-01
12/1980,-0.06377500000000036,1980-12-01
01/1981,-0.31762500000000005,1981-01-01
02/1981,-0.3692250000000007,1981-02-01
03/1981,3.9317999999999995,1981-03-01
04/1981,-1.4146499999999997,1981-04-01
05/1981,0.1327750000000001,1981-05-01
06/1981,-0.32887500000000014,1981-06-01
07/1981,0.8891749999999998,1981-07-01
08/1981,0.9127,1981-08-01
09/1981,0.14639999999999997,1981-09-01
10/1981,1.6861749999999998,1981-10-01
11/1981,1.5721250000000002,1981-11-01
12/1981,-0.3757750000000004,1981-12-01
01/1982,0.21937499999999988,1982-01-01
02/1982,0.05077499999999935,1982-02-01
03/1982,0.17579999999999973,1982-03-01
04/1982,0.21435000000000048,1982-04-01
05/1982,-0.062224999999999975,1982-05-01
06/1982,-0.35587500000000016,1982-06-01
07/1982,-0.3858250000000001,1982-07-01
08/1982,0.2117,1982-08-01
09/1982,-0.42660000000000003,1982-09-01
10/1982,-0.42882500000000023,1982-10-01
11/1982,-0.6228749999999998,1982-11-01
12/1982,-0.6457750000000004,1982-12-01
01/1983,1.146375,1983-01-01
02/1983,0.33977499999999927,1983-02-01
03/1983,-0.04520000000000035,1983-03-01
04/1983,0.8333500000000003,1983-04-01
05/1983,-0.40222499999999994,1983-05-01
06/1983,-0.32887500000000014,1983-06-01
07/1983,-0.5608250000000001,1983-07-01
08/1983,1.3356999999999997,1983-08-01
09/1983,-0.23160000000000003,1983-09-01
10/1983,-0.5198250000000002,1983-10-01
11/1983,-0.3158749999999998,1983-11-01
12/1983,-0.9377750000000005,1983-12-01
01/1984,-0.399625,1984-01-01
02/1984,-0.1242250000000007,1984-02-01
03/1984,-0.6842000000000004,1984-03-01
04/1984,0.7803500000000003,1984-04-01
05/1984,-0.0022249999999999215,1984-05-01
06/1984,0.41812499999999975,1984-06-01
07/1984,1.318175,1984-07-01
08/1984,0.3186999999999999,1984-08-01
09/1984,0.3184,1984-09-01
10/1984,0.17417499999999975,1984-10-01
11/1984,-0.35787499999999983,1984-11-01
12/1984,-1.0807750000000005,1984-12-01
01/1985,-1.007625,1985-01-01
02/1985,-0.45522500000000066,1985-02-01
03/1985,-0.9942000000000003,1985-03-01
04/1985,-0.3586499999999999,1985-04-01
05/1985,-0.2522249999999999,1985-05-01
06/1985,-0.16787500000000022,1985-06-01
07/1985,0.5801749999999999,1985-07-01
08/1985,-0.40030000000000004,1985-08-01
09/1985,-0.5146,1985-09-01
10/1985,-0.5198250000000002,1985-10-01
11/1985,-0.6738749999999998,1985-11-01
12/1985,-0.26577500000000054,1985-12-01
01/1986,0.33237499999999986,1986-01-01
02/1986,-0.5222250000000007,1986-02-01
03/1986,0.03379999999999983,1986-03-01
04/1986,0.6563500000000002,1986-04-01
05/1986,-0.11122499999999991,1986-05-01
06/1986,1.2781249999999997,1986-06-01
07/1986,-0.3838250000000001,1986-07-01
08/1986,0.13269999999999993,1986-08-01
09/1986,0.4243999999999999,1986-09-01
10/1986,0.1321749999999997,1986-10-01
11/1986,0.3251250000000002,1986-11-01
12/1986,0.044224999999999515,1986-12-01
01/1987,1.597375,1987-01-01
02/1987,-0.05822500000000064,1987-02-01
03/1987,0.08679999999999977,1987-03-01
04/1987,3.6303500000000004,1987-04-01
05/1987,0.050775000000000015,1987-05-01
06/1987,0.5571249999999998,1987-06-01
07/1987,-0.08982500000000004,1987-07-01
08/1987,0.3537,1987-08-01
09/1987,0.3164,1987-09-01
10/1987,-0.2748250000000002,1987-10-01
11/1987,0.03112500000000018,1987-11-01
12/1987,1.5362249999999995,1987-12-01
01/1988,-0.16962500000000014,1988-01-01
02/1988,0.05277499999999935,1988-02-01
03/1988,0.18879999999999963,1988-03-01
04/1988,2.74135,1988-04-01
05/1988,-0.43322499999999997,1988-05-01
06/1988,-0.5128750000000002,1988-06-01
07/1988,-0.5168250000000001,1988-07-01
08/1988,-0.39630000000000004,1988-08-01
09/1988,-0.3206,1988-09-01
10/1988,-0.4088250000000002,1988-10-01
11/1988,-0.04787499999999978,1988-11-01
12/1988,1.9302249999999996,1988-12-01
01/1989,0.9893749999999999,1989-01-01
02/1989,-0.32122500000000065,1989-02-01
03/1989,-0.0032000000000003137,1989-03-01
04/1989,-1.9256499999999996,1989-04-01
05/1989,-0.5932249999999999,1989-05-01
06/1989,-0.5968750000000002,1989-06-01
07/1989,-0.571825,1989-07-01
08/1989,-0.45330000000000004,1989-08-01
09/1989,-0.5146,1989-09-01
10/1989,-0.2718250000000002,1989-10-01
11/1989,0.014125000000000165,1989-11-01
12/1989,0.011224999999999596,1989-12-01
01/1990,-0.45062500000000005,1990-01-01
02/1990,0.42677499999999924,1990-02-01
03/1990,0.4957999999999996,1990-03-01
04/1990,-0.9746499999999998,1990-04-01
05/1990,-0.2282249999999999,1990-05-01
06/1990,-0.11487500000000017,1990-06-01
07/1990,-0.2708250000000001,1990-07-01
08/1990,-0.3693,1990-08-01
09/1990,0.21940000000000004,1990-09-01
10/1990,-0.07782500000000026,1990-10-01
11/1990,0.3121250000000001,1990-11-01
12/1990,-0.6657750000000004,1990-12-01
01/1991,-0.09462499999999996,1991-01-01
02/1991,-0.6282250000000007,1991-02-01
03/1991,-1.2742000000000002,1991-03-01
04/1991,-1.9036499999999998,1991-04-01
05/1991,-0.4822249999999999,1991-05-01
06/1991,0.18212499999999976,1991-06-01
07/1991,-0.321825,1991-07-01
08/1991,-0.2393,1991-08-01
09/1991,-0.5146,1991-09-01
10/1991,-0.6128250000000002,1991-10-01
11/1991,-0.4508749999999998,1991-11-01
12/1991,0.2502249999999995,1991-12-01
01/1992,1.4293749999999998,1992-01-01
02/1992,1.4297749999999994,1992-02-01
03/1992,1.9777999999999998,1992-03-01
04/1992,-0.3646499999999997,1992-04-01
05/1992,-0.03522499999999984,1992-05-01
06/1992,-0.5608750000000002,1992-06-01
07/1992,-0.41082500000000005,1992-07-01
08/1992,-0.3733,1992-08-01
09/1992,-0.4116,1992-09-01
10/1992,-0.45982500000000026,1992-10-01
11/1992,0.2831250000000002,1992-11-01
12/1992,-0.7667750000000004,1992-12-01
01/1993,-0.2646250000000001,1993-01-01
02/1993,-0.2652250000000007,1993-02-01
03/1993,-0.44120000000000026,1993-03-01
04/1993,-2.0056499999999997,1993-04-01
05/1993,-0.836225,1993-05-01
06/1993,-0.2738750000000002,1993-06-01
07/1993,0.04017499999999996,1993-07-01
08/1993,0.05069999999999997,1993-08-01
09/1993,-0.14160000000000006,1993-09-01
10/1993,-0.37782500000000024,1993-10-01
11/1993,-0.5548749999999998,1993-11-01
12/1993,0.9042249999999994,1993-12-01
01/1994,0.2613749999999999,1994-01-01
02/1994,-0.2592250000000007,1994-02-01
03/1994,-0.6602000000000003,1994-03-01
04/1994,-1.2996499999999997,1994-04-01
05/1994,-0.4602249999999999,1994-05-01
06/1994,-0.19587500000000013,1994-06-01
07/1994,0.31217499999999987,1994-07-01
08/1994,0.4756999999999999,1994-08-01
09/1994,0.13739999999999997,1994-09-01
10/1994,-0.1508250000000002,1994-10-01
11/1994,-0.0698749999999998,1994-11-01
12/1994,0.4132249999999995,1994-12-01
01/1995,0.8143750000000001,1995-01-01
02/1995,1.1007749999999992,1995-02-01
03/1995,-0.8232000000000004,1995-03-01
