Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
2.712,1.048,1.048,346.398,0.000,0
5.054,0.786,0.786,350.666,0.000,0
15.839,1.834,1.834,364.671,0.000,0
3.440,1.834,1.834,366.277,0.000,0
3.758,2.620,2.620,367.415,0.000,0
2.039,3.144,3.144,366.310,0.000,0
2.754,3.668,3.668,365.396,0.000,0
2.696,3.668,3.668,364.425,0.000,0
1.416,2.620,2.620,363.221,0.000,0
2.596,1.834,1.834,363.984,0.000,0
7.779,1.834,1.834,369.928,0.000,0
3.038,1.310,1.310,371.656,0.000,0
3.004,1.048,1.048,373.612,0.000,0
5.322,0.786,0.786,378.148,0.000,0
13.503,1.834,1.834,389.817,0.000,0
2.168,1.834,1.834,390.151,0.000,0
0.946,2.620,2.620,388.477,0.000,0
0.917,3.144,3.144,386.250,0.000,0
0.783,3.668,3.668,383.365,0.000,0
1.022,3.668,3.668,380.719,0.000,0
1.064,2.620,2.620,379.164,0.000,0
2.389,1.834,1.834,379.718,0.000,0
8.814,1.834,1.834,386.699,0.000,0
6.084,1.310,1.310,391.473,0.000,0
2.021,1.048,1.048,392.446,0.000,0
4.817,0.786,0.786,396.477,0.000,0
1.238,1.834,1.834,395.880,0.000,0
1.748,1.834,1.834,395.794,0.000,0
0.725,2.620,2.620,393.899,0.000,0
0.773,3.144,3.144,391.528,0.000,0
0.633,3.668,3.668,388.493,0.000,0
0.512,3.668,3.668,385.338,0.000,0
1.424,2.620,2.620,384.142,0.000,0
2.552,1.834,1.834,384.860,0.000,0
3.771,1.834,1.834,386.797,0.000,0
2.300,1.310,1.310,387.787,0.000,0
3.987,1.048,1.048,390.725,0.000,0
6.128,0.786,0.786,396.068,0.000,0
3.737,1.834,1.834,397.971,0.000,0
2.707,1.834,1.834,398.844,0.000,0
1.992,2.620,2.620,398.216,0.000,0
1.564,3.144,3.144,396.635,0.000,0
0.854,3.668,3.668,393.822,0.000,0
2.441,3.668,3.668,392.595,0.000,0
1.934,2.620,2.620,391.909,0.000,0
3.335,1.834,1.834,393.410,0.000,0
1.992,1.834,1.834,393.568,0.000,0
3.235,1.310,1.310,395.493,0.000,0
1.214,1.048,1.048,395.659,0.000,0
1.477,0.786,0.786,396.350,0.000,0
1.296,1.834,1.834,395.812,0.000,0
2.039,1.834,1.834,396.017,0.000,0
2.773,2.620,2.620,396.170,0.000,0
1.430,3.144,3.144,394.455,0.000,0
1.196,3.668,3.668,391.983,0.000,0
0.512,3.668,3.668,388.828,0.000,0
0.528,2.620,2.620,386.736,0.000,0
1.330,1.834,1.834,386.232,0.000,0
4.399,1.834,1.834,388.797,0.000,0
7.240,1.310,1.310,394.727,0.000,0
6.623,1.048,1.048,400.302,0.000,0
10.023,0.786,0.786,409.539,0.000,0
5.340,1.834,1.834,413.045,0.000,0
3.214,1.834,1.834,414.425,0.000,0
0.820,2.620,2.620,412.625,0.000,0
1.196,3.144,3.144,410.677,0.000,0
0.844,3.668,3.668,407.852,0.000,0
0.783,3.668,3.668,404.967,0.000,0
0.930,2.620,2.620,403.278,0.000,0
3.259,1.834,1.834,404.702,0.000,0
1.727,1.834,1.834,404.595,0.000,0
2.788,1.310,1.310,406.073,0.000,0
2.168,1.048,1.048,407.193,0.000,0
3.666,0.786,0.786,410.073,0.000,0
1.028,1.834,1.834,409.267,0.000,0
1.109,1.834,1.834,408.542,0.000,0
1.574,2.620,2.620,407.496,0.000,0
2.381,3.144,3.144,406.733,0.000,0
1.958,3.668,3.668,405.023,0.000,0
1.493,3.668,3.668,402.848,0.000,0
1.146,2.620,2.620,401.373,0.000,0
1.056,1.834,1.834,400.596,0.000,0
6.118,1.834,1.834,404.880,0.000,0
4.171,1.310,1.310,407.740,0.000,0
2.184,1.048,1.048,408.876,0.000,0
3.091,0.786,0.786,411.181,0.000,0
2.883,1.834,1.834,412.230,0.000,0
2.097,1.834,1.834,412.493,0.000,0
1.779,2.620,2.620,411.652,0.000,0
3.096,3.144,3.144,411.604,0.000,0
3.075,3.668,3.668,411.011,0.000,0
2.226,3.668,3.668,409.569,0.000,0
1.742,2.620,2.620,408.691,0.000,0
2.331,1.834,1.834,409.188,0.000,0
4.828,1.834,1.834,412.182,0.000,0
5.624,1.310,1.310,416.496,0.000,0
