Monat,Durchfluss_m3s,Datum
10/1981,2.5,1981-10-01
11/1981,2.529,1981-11-01
12/1981,1.048,1981-12-01
01/1982,1.545,1982-01-01
02/1982,1.141,1982-02-01
03/1982,2.012,1982-03-01
04/1982,2.611,1982-04-01
05/1982,1.196,1982-05-01
06/1982,0.517,1982-06-01
07/1982,0.48,1982-07-01
08/1982,0.906,1982-08-01
09/1982,0.283,1982-09-01
10/1982,0.385,1982-10-01
11/1982,0.334,1982-11-01
12/1982,0.778,1982-12-01
01/1983,2.472,1983-01-01
02/1983,1.43,1983-02-01
03/1983,1.791,1983-03-01
04/1983,3.23,1983-04-01
05/1983,0.856,1983-05-01
06/1983,0.544,1983-06-01
07/1983,0.305,1983-07-01
08/1983,2.03,1983-08-01
09/1983,0.478,1983-09-01
10/1983,0.294,1983-10-01
11/1983,0.641,1983-11-01
12/1983,0.486,1983-12-01
01/1984,0.926,1984-01-01
02/1984,0.966,1984-02-01
03/1984,1.152,1984-03-01
04/1984,3.177,1984-04-01
05/1984,1.256,1984-05-01
06/1984,1.291,1984-06-01
07/1984,2.184,1984-07-01
08/1984,1.013,1984-08-01
09/1984,1.028,1984-09-01
10/1984,0.988,1984-10-01
11/1984,0.599,1984-11-01
12/1984,0.343,1984-12-01
01/1985,0.318,1985-01-01
02/1985,0.635,1985-02-01
03/1985,0.842,1985-03-01
04/1985,2.038,1985-04-01
05/1985,1.006,1985-05-01
06/1985,0.705,1985-06-01
07/1985,1.446,1985-07-01
08/1985,0.294,1985-08-01
09/1985,0.195,1985-09-01
10/1985,0.294,1985-10-01
11/1985,0.283,1985-11-01
12/1985,1.158,1985-12-01
01/1986,1.658,1986-01-01
02/1986,0.568,1986-02-01
03/1986,1.87,1986-03-01
04/1986,3.053,1986-04-01
05/1986,1.147,1986-05-01
06/1986,2.151,1986-06-01
07/1986,0.482,1986-07-01
08/1986,0.827,1986-08-01
09/1986,1.134,1986-09-01
10/1986,0.946,1986-10-01
11/1986,1.282,1986-11-01
12/1986,1.468,1986-12-01
01/1987,2.923,1987-01-01
02/1987,1.032,1987-02-01
03/1987,1.923,1987-03-01
04/1987,6.027,1987-04-01
05/1987,1.309,1987-05-01
06/1987,1.43,1987-06-01
07/1987,0.776,1987-07-01
08/1987,1.048,1987-08-01
09/1987,1.026,1987-09-01
10/1987,0.539,1987-10-01
11/1987,0.988,1987-11-01
12/1987,2.96,1987-12-01
01/1988,1.156,1988-01-01
02/1988,1.143,1988-02-01
03/1988,2.025,1988-03-01
04/1988,5.138,1988-04-01
05/1988,0.825,1988-05-01
06/1988,0.36,1988-06-01
07/1988,0.349,1988-07-01
08/1988,0.298,1988-08-01
09/1988,0.389,1988-09-01
10/1988,0.405,1988-10-01
11/1988,0.909,1988-11-01
12/1988,3.354,1988-12-01
01/1989,2.315,1989-01-01
02/1989,0.769,1989-02-01
03/1989,1.833,1989-03-01
04/1989,0.471,1989-04-01
05/1989,0.665,1989-05-01
06/1989,0.276,1989-06-01
07/1989,0.294,1989-07-01
08/1989,0.241,1989-08-01
