Monat,Durchfluss_m3s,Datum,trendber,trend,saisonfigur_mean,saisonfigur_std,saisonber,normiert,autokorr_saisonfigur,autokorr,zufall
12/1960,1.415,1960-12-01,1.3665415696248682,0.04845843037513187,1.4237750000000005,1.2014165906857621,-0.008775000000000421,-0.00730387782891503,0.38281321751129754,-0.002796020971996393,-0.004507856856918637
01/1961,0.584,1961-01-01,0.5357555141298355,0.0482444858701645,1.325625,0.9279529268098677,-0.7416250000000001,-0.7992054107201009,0.25444063117047155,-0.20335032913847842,-0.5958550815816225
02/1961,1.968,1961-02-01,1.9199694586348028,0.04803054136519713,1.0902250000000007,0.7167117442703168,0.8777749999999993,1.2247252916075217,0.2531765156440928,0.31007168195038787,0.9146536096571338
03/1961,2.547,1961-03-01,2.499183403139771,0.04781659686022932,1.8362000000000003,1.0156097232697212,0.7107999999999999,0.6998751426991101,0.009520695607714773,0.006663298197044168,0.693211844502066
04/1961,2.235,1961-04-01,2.1873973476447377,0.047602652355262176,2.3966499999999997,1.4555570505823539,-0.16164999999999985,-0.11105713783965067,0.5930657445041074,-0.06586418413536771,-0.04519295370428296
05/1961,1.634,1961-05-01,1.5866112921497053,0.04738870785029459,1.258225,0.8000876666809706,0.37577499999999997,0.4696672822852519,0.3707626495336055,0.1741350859793278,0.2955321963059241
06/1961,2.273,1961-06-01,2.225825236654673,0.047174763345327,0.8728750000000002,0.521150994794215,1.400125,2.6866014149178827,0.06897415607196197,0.1853060652956999,2.501295349622183
07/1961,0.745,1961-07-01,0.6980391811596404,0.04696081884035963,0.8658250000000001,0.6626805371934503,-0.12082500000000007,-0.18232767256408608,0.11955617231005758,-0.021798398637963633,-0.16052927392612246
08/1961,0.699,1961-08-01,0.6522531256646077,0.04674687433539226,0.6943,0.42635948447290345,0.0046999999999999265,0.011023561504232532,0.19381760619069524,0.002136560302446249,0.008887001201786282
09/1961,0.462,1961-09-01,0.4154670701695753,0.04653292983042473,0.7096,0.5246843241416691,-0.2476,-0.4719027968008168,0.5418876367923529,-0.2557182913540965,-0.2161845054467203
10/1961,0.4,1961-10-01,0.3536810146745427,0.04631898532545731,0.8138250000000002,0.6674329886775152,-0.4138250000000002,-0.6200247920318915,-0.062197361874211175,0.03856390636099009,-0.6585886983928816
11/1961,0.409,1961-11-01,0.3628949591795103,0.04610504082048966,0.9568749999999998,0.7327589708594499,-0.5478749999999999,-0.7476878779899476,0.44650979104544664,-0.33384995816850493,-0.4138379198214427
12/1961,0.688,1961-12-01,0.6421089036844776,0.04589109631552235,1.4237750000000005,1.2014165906857621,-0.7357750000000005,-0.6124228728854361,0.38281321751129754,-0.23444357044678615,-0.3779793024386499
01/1962,1.165,1962-01-01,1.1193228481894453,0.04567715181055476,1.325625,0.9279529268098677,-0.16062500000000002,-0.1730960648534181,0.25444063117047155,-0.04404267199442858,-0.12905339285898954
02/1962,0.621,1962-02-01,0.5755367926944126,0.045463207305587394,1.0902250000000007,0.7167117442703168,-0.46922500000000067,-0.6546913787183967,0.2531765156440928,-0.16575248208615084,-0.4889388966322458
03/1962,0.957,1962-03-01,0.9117507371993802,0.045249262800619805,1.8362000000000003,1.0156097232697212,-0.8792000000000003,-0.8656868675591699,0.009520695607714773,-0.00824194115762695,-0.8574449264015429
04/1962,3.646,1962-04-01,3.6009646817043475,0.04503531829565244,2.3966499999999997,1.4555570505823539,1.2493500000000002,0.8583311794616004,0.5930657445041074,0.5090468199784827,0.34928435948311776
05/1962,1.435,1962-05-01,1.3901786262093152,0.04482137379068485,1.258225,0.8000876666809706,0.17677500000000013,0.22094453815707663,0.3707626495336055,0.08191798236709652,0.1390265557899801
