Monat,Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
07/1983,0.802,3.144,3.144,96.467,0,0.000
08/1983,5.335,3.668,3.668,98.134,0,0.000
09/1983,1.256,3.668,3.668,95.722,0,0.000
10/1983,0.773,2.620,2.620,93.875,0,0.000
11/1983,1.685,1.834,1.834,93.725,0,0.000
12/1983,1.277,1.834,1.834,93.169,0,0.000
01/1984,2.434,1.310,1.310,94.292,0,0.000
02/1984,2.539,1.048,1.048,95.783,0,0.000
03/1984,3.027,0.786,0.786,98.024,0,0.000
04/1984,8.349,1.834,6.373,100.000,0,4.539
05/1984,3.301,1.834,3.301,100.000,0,1.467
06/1984,3.393,2.620,3.393,100.000,0,0.773
07/1984,5.740,3.144,5.740,100.000,0,2.596
08/1984,2.662,3.668,3.668,98.994,0,0.000
09/1984,2.702,3.668,3.668,98.028,0,0.000
10/1984,2.596,2.620,2.620,98.004,0,0.000
11/1984,1.574,1.834,1.834,97.744,0,0.000
12/1984,0.901,1.834,1.834,96.812,0,0.000
01/1985,0.836,1.310,1.310,96.337,0,0.000
02/1985,1.669,1.048,1.048,96.958,0,0.000
03/1985,2.213,0.786,0.786,98.385,0,0.000
04/1985,5.356,1.834,3.741,100.000,0,1.907
05/1985,2.644,1.834,2.644,100.000,0,0.810
06/1985,1.853,2.620,2.620,99.233,0,0.000
07/1985,3.800,3.144,3.144,99.889,0,0.000
08/1985,0.773,3.668,3.668,96.993,0,0.000
09/1985,0.512,3.668,3.668,93.838,0,0.000
10/1985,0.773,2.620,2.620,91.991,0,0.000
11/1985,0.744,1.834,1.834,90.900,0,0.000
12/1985,3.043,1.834,1.834,92.109,0,0.000
01/1986,4.357,1.310,1.310,95.157,0,0.000
02/1986,1.493,1.048,1.048,95.601,0,0.000
03/1986,4.914,0.786,0.786,99.730,0,0.000
04/1986,8.023,1.834,7.753,100.000,0,5.919
05/1986,3.014,1.834,3.014,100.000,0,1.180
06/1986,5.653,2.620,5.653,100.000,0,3.033
07/1986,1.267,3.144,3.144,98.123,0,0.000
08/1986,2.173,3.668,3.668,96.628,0,0.000
09/1986,2.980,3.668,3.668,95.940,0,0.000
10/1986,2.486,2.620,2.620,95.806,0,0.000
11/1986,3.369,1.834,1.834,97.341,0,0.000
12/1986,3.858,1.834,1.834,99.365,0,0.000
01/1987,7.682,1.310,7.047,100.000,0,5.737
02/1987,2.712,1.048,2.712,100.000,0,1.664
03/1987,5.054,0.786,5.054,100.000,0,4.268
04/1987,15.839,1.834,15.839,100.000,0,14.005
05/1987,3.440,1.834,3.440,100.000,0,1.606
06/1987,3.758,2.620,3.758,100.000,0,1.138
07/1987,2.039,3.144,3.144,98.895,0,0.000
08/1987,2.754,3.668,3.668,97.981,0,0.000
09/1987,2.696,3.668,3.668,97.010,0,0.000
10/1987,1.416,2.620,2.620,95.806,0,0.000
11/1987,2.596,1.834,1.834,96.569,0,0.000
12/1987,7.779,1.834,4.348,100.000,0,2.514
01/1988,3.038,1.310,3.038,100.000,0,1.728
02/1988,3.004,1.048,3.004,100.000,0,1.956
03/1988,5.322,0.786,5.322,100.000,0,4.536
04/1988,13.503,1.834,13.503,100.000,0,11.669
05/1988,2.168,1.834,2.168,100.000,0,0.334
06/1988,0.946,2.620,2.620,98.326,0,0.000
07/1988,0.917,3.144,3.144,96.099,0,0.000
08/1988,0.783,3.668,3.668,93.214,0,0.000
09/1988,1.022,3.668,3.668,90.569,0,0.000
10/1988,1.064,2.620,2.620,89.013,0,0.000
11/1988,2.389,1.834,1.834,89.568,0,0.000
12/1988,8.814,1.834,1.834,96.548,0,0.000
01/1989,6.084,1.310,2.632,100.000,0,1.322
02/1989,2.021,1.048,2.021,100.000,0,0.973
03/1989,4.817,0.786,4.817,100.000,0,4.031
04/1989,1.238,1.834,1.834,99.404,0,0.000
05/1989,1.748,1.834,1.834,99.317,0,0.000
06/1989,0.725,2.620,2.620,97.423,0,0.000
07/1989,0.773,3.144,3.144,95.051,0,0.000
08/1989,0.633,3.668,3.668,92.017,0,0.000
09/1989,0.512,3.668,3.668,88.861,0,0.000
10/1989,1.424,2.620,2.620,87.666,0,0.000
11/1989,2.552,1.834,1.834,88.383,0,0.000
12/1989,3.771,1.834,1.834,90.321,0,0.000
01/1990,2.300,1.310,1.310,91.310,0,0.000
02/1990,3.987,1.048,1.048,94.249,0,0.000
03/1990,6.128,0.786,0.786,99.591,0,0.000
04/1990,3.737,1.834,3.328,100.000,0,1.494
05/1990,2.707,1.834,2.707,100.000,0,0.873
06/1990,1.992,2.620,2.620,99.372,0,0.000
07/1990,1.564,3.144,3.144,97.792,0,0.000
08/1990,0.854,3.668,3.668,94.978,0,0.000
09/1990,2.441,3.668,3.668,93.751,0,0.000
10/1990,1.934,2.620,2.620,93.065,0,0.000
11/1990,3.335,1.834,1.834,94.566,0,0.000
12/1990,1.992,1.834,1.834,94.724,0,0.000
01/1991,3.235,1.310,1.310,96.649,0,0.000
02/1991,1.214,1.048,1.048,96.816,0,0.000
03/1991,1.477,0.786,0.786,97.506,0,0.000
04/1991,1.296,1.834,1.834,96.968,0,0.000
05/1991,2.039,1.834,1.834,97.173,0,0.000
06/1991,2.773,2.620,2.620,97.326,0,0.000
07/1991,1.430,3.144,3.144,95.612,0,0.000
08/1991,1.196,3.668,3.668,93.139,0,0.000
09/1991,0.512,3.668,3.668,89.984,0,0.000
10/1991,0.528,2.620,2.620,87.892,0,0.000
11/1991,1.330,1.834,1.834,87.388,0,0.000
12/1991,4.399,1.834,1.834,89.953,0,0.000
01/1992,7.240,1.310,1.310,95.883,0,0.000
02/1992,6.623,1.048,2.506,100.000,0,1.458
03/1992,10.023,0.786,10.023,100.000,0,9.237
04/1992,5.340,1.834,5.340,100.000,0,3.506
