Monat,Durchfluss_m3s,Datum
03/1969,1.7417220756166485,1969-03-01
04/1969,5.501936020121616,1969-04-01
05/1969,2.922149964626583,1969-05-01
06/1969,0.9723639091315509,1969-06-01
07/1969,0.7295778536365183,1969-07-01
08/1969,0.7897917981414858,1969-08-01
09/1969,1.0790057426464532,1969-09-01
10/1969,0.7392196871514206,1969-10-01
11/1969,0.40743363165638824,1969-11-01
12/1969,0.32864757616135554,1969-12-01
01/1970,0.21186152066632313,1970-01-01
02/1970,0.4720754651712905,1970-02-01
03/1970,1.3132894096762582,1970-03-01
04/1970,5.082503354181226,1970-04-01
05/1970,3.939717298686193,1970-05-01
06/1970,1.5039312431911604,1970-06-01
07/1970,0.5841451876961278,1970-07-01
08/1970,1.5263591322010954,1970-08-01
09/1970,0.49357307670606276,1970-09-01
10/1970,1.1597870212110302,1970-10-01
11/1970,2.8440009657159977,1970-11-01
12/1970,1.790214910220965,1970-12-01
01/1971,0.7734288547259327,1971-01-01
02/1971,1.0346427992309,1971-02-01
03/1971,1.6628567437358674,1971-03-01
04/1971,2.6310706882408352,1971-04-01
05/1971,1.1672846327458024,1971-05-01
06/1971,1.94349857725077,1971-06-01
07/1971,0.7767125217557374,1971-07-01
08/1971,0.39192646626070493,1971-08-01
09/1971,0.31714041076567234,1971-09-01
10/1971,0.28435435527063957,1971-10-01
11/1971,0.28056829977560716,1971-11-01
12/1971,1.7747822442805745,1971-12-01
01/1972,0.6959961887855421,1972-01-01
02/1972,0.36921013329050956,1972-02-01
03/1972,0.3384240777954769,1972-03-01
04/1972,1.3976380223004445,1972-04-01
05/1972,1.1038519668054119,1972-05-01
06/1972,1.5060659113103794,1972-06-01
07/1972,0.7972798558153468,1972-07-01
08/1972,1.1044938003203142,1972-08-01
09/1972,0.7667077448252818,1972-09-01
10/1972,1.018921689330249,1972-10-01
11/1972,1.0981356338352168,1972-11-01
12/1972,0.9353495783401841,1972-12-01
01/1973,0.4865635228451517,1973-01-01
02/1973,0.561777467350119,1973-02-01
03/1973,1.3269914118550865,1973-03-01
04/1973,2.5982053563600545,1973-04-01
05/1973,2.2094193008650214,1973-05-01
06/1973,0.6736332453699889,1973-06-01
07/1973,1.1558471898749563,1973-07-01
08/1973,0.6830611343799237,1973-08-01
09/1973,0.31327507888489126,1973-09-01
10/1973,0.46248902338985864,1973-10-01
11/1973,0.4267029678948262,1973-11-01
12/1973,0.42091691239979356,1973-12-01
01/1974,1.919130856904761,1974-01-01
02/1974,0.8653448014097286,1974-02-01
03/1974,1.2965587459146959,1974-03-01
04/1974,0.5847726904196635,1974-04-01
05/1974,0.6599866349246309,1974-05-01
06/1974,0.9192005794295985,1974-06-01
07/1974,1.0434145239345658,1974-07-01
08/1974,0.49462846843953323,1974-08-01
09/1974,0.3318424129445008,1974-09-01
10/1974,0.7410563574494682,1974-10-01
11/1974,3.1042703019544358,1974-11-01
12/1974,7.329484246459403,1974-12-01
01/1975,2.4036981909643704,1975-01-01
02/1975,1.322912135469338,1975-02-01
03/1975,0.7841260799743055,1975-03-01
04/1975,1.551340024479273,1975-04-01
05/1975,0.6715539689842405,1975-05-01
06/1975,0.5807679134892078,1975-06-01
07/1975,0.5699818579941753,1975-07-01
08/1975,0.7471958024991427,1975-08-01
09/1975,0.5754097470041103,1975-09-01
10/1975,0.29262369150907763,1975-10-01
11/1975,0.3748376360140453,1975-11-01
12/1975,1.3760515805190126,1975-12-01
01/1976,4.75026552502398,1976-01-01
02/1976,1.0674794695289476,1976-02-01
03/1976,0.8156934140339149,1976-03-01
04/1976,2.0399073585388825,1976-04-01
05/1976,0.5551213030438499,1976-05-01
06/1976,0.6323352475488173,1976-06-01
07/1976,0.3895491920537849,1976-07-01
08/1976,0.4097631365587522,1976-08-01
09/1976,0.3259770810637199,1976-09-01
10/1976,0.26219102556868723,1976-10-01
11/1976,0.35240497007365457,1976-11-01
12/1976,0.8856189145786222,1976-12-01
01/1977,0.7138328590835895,1977-01-01
02/1977,2.228046803588557,1977-02-01
03/1977,2.407260748093525,1977-03-01
04/1977,1.5654746925984921,1977-04-01
05/1977,0.9976886371034595,1977-05-01
06/1977,0.9649025816084268,1977-06-01
07/1977,0.8691165261133944,1977-07-01
08/1977,1.5533304706183617,1977-08-01
09/1977,1.2615444151233293,1977-09-01
10/1977,0.8197583596282967,1977-10-01
11/1977,1.791972304133264,1977-11-01
12/1977,1.3901862486382317,1977-12-01
01/1978,1.047400193143199,1978-01-01
02/1978,0.5286141376481667,1978-02-01
03/1978,2.250828082153134,1978-03-01
04/1978,1.5630420266581015,1978-04-01
05/1978,2.156255971163069,1978-05-01
06/1978,0.9604699156680363,1978-06-01
07/1978,0.6196838601730039,1978-07-01
08/1978,1.0848978046779714,1978-08-01
09/1978,1.6551117491829388,1978-09-01
10/1978,2.340325693687906,1978-10-01
11/1978,0.8175396381928736,1978-11-01
12/1978,1.3237535826978413,1978-12-01
01/1979,1.8569675272028086,1979-01-01
02/1979,0.5221814717077762,1979-02-01
03/1979,2.2683954162127433,1979-03-01
04/1979,3.115609360717711,1979-04-01
05/1979,0.9998233052226784,1979-05-01
06/1979,0.48103724972764583,1979-06-01
07/1979,0.5632511942326134,1979-07-01
08/1979,0.5324651387375808,1979-08-01
09/1979,1.5936790832425485,1979-09-01
10/1979,1.0258930277475158,1979-10-01
11/1979,0.6881069722524831,1979-11-01
12/1979,1.9483209167574507,1979-12-01
01/1980,0.564534861262418,1980-01-01
02/1980,1.9687488057673856,1980-02-01
03/1980,0.986962750272353,1980-03-01
04/1980,2.85717669477732,1980-04-01
05/1980,2.6583906392822882,1980-05-01
06/1980,0.3926045837872554,1980-06-01
07/1980,3.4148185282922228,1980-07-01
08/1980,0.7160324727971903,1980-08-01
09/1980,0.6392464173021579,1980-09-01
10/1980,1.0504603618071253,1980-10-01
11/1980,1.1476743063120927,1980-11-01
12/1980,1.3628882508170603,1980-12-01
01/1981,1.0111021953220276,1981-01-01
02/1981,0.7243161398269952,1981-02-01
03/1981,5.771530084331963,1981-03-01
04/1981,0.9857440288369299,1981-04-01
