Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
1.482,1.834,1.834,22.544,0.000,0.000
1.685,2.620,2.620,21.609,0.000,0.000
1.046,3.144,3.144,19.511,0.000,0.000
1.099,3.668,3.668,16.941,0.000,0.000
0.878,3.668,3.668,14.151,0.000,0.000
0.710,2.620,2.620,12.240,0.000,0.000
0.946,1.834,1.834,11.353,0.000,0.000
2.347,1.834,1.834,11.865,0.000,0.000
1.895,1.310,1.310,12.450,0.000,0.000
5.874,1.048,1.048,17.276,0.000,0.000
6.344,0.786,0.786,22.834,0.000,0.000
4.131,1.834,4.069,22.896,0.000,2.235
2.639,1.834,2.639,22.896,0.000,0.805
2.552,2.620,2.620,22.828,0.000,0.000
2.300,3.144,3.144,21.983,0.000,0.000
4.097,3.668,3.668,22.412,0.000,0.000
3.330,3.668,3.668,22.074,0.000,0.000
2.168,2.620,2.620,21.622,0.000,0.000
4.723,1.834,3.449,22.896,0.000,1.615
3.666,1.834,3.666,22.896,0.000,1.832
2.765,1.310,2.765,22.896,0.000,1.455
1.401,1.048,1.401,22.896,0.000,0.353
5.926,0.786,5.926,22.896,0.000,5.140
4.118,1.834,4.118,22.896,0.000,2.284
5.676,1.834,5.676,22.896,0.000,3.842
2.533,2.620,2.620,22.809,0.000,0.000
1.637,3.144,3.144,21.303,0.000,0.000
2.859,3.668,3.668,20.494,0.000,0.000
4.357,3.668,3.668,21.183,0.000,0.000
6.157,2.620,4.445,22.896,0.000,1.825
2.155,1.834,2.155,22.896,0.000,0.321
3.485,1.834,3.485,22.896,0.000,1.651
4.885,1.310,4.885,22.896,0.000,3.575
1.377,1.048,1.377,22.896,0.000,0.329
5.966,0.786,5.966,22.896,0.000,5.180
8.191,1.834,8.191,22.896,0.000,6.357
2.631,1.834,2.631,22.896,0.000,0.797
1.267,2.620,2.620,21.543,0.000,0.000
1.482,3.144,3.144,19.881,0.000,0.000
1.401,3.668,3.668,17.614,0.000,0.000
4.189,3.668,3.668,18.135,0.000,0.000
2.696,2.620,2.620,18.211,0.000,0.000
1.808,1.834,1.834,18.185,0.000,0.000
5.119,1.834,1.834,21.470,0.000,0.000
1.482,1.310,1.310,21.643,0.000,0.000
5.172,1.048,3.918,22.896,0.000,2.870
2.591,0.786,2.591,22.896,0.000,1.805
7.506,1.834,7.506,22.896,0.000,5.672
6.983,1.834,6.983,22.896,0.000,5.149
1.028,2.620,2.620,21.304,0.000,0.000
8.969,3.144,7.377,22.896,0.000,4.233
1.876,3.668,3.668,21.104,0.000,0.000
1.674,3.668,3.668,19.110,0.000,0.000
2.754,2.620,2.620,19.245,0.000,0.000
3.009,1.834,1.834,20.420,0.000,0.000
3.574,1.834,1.834,22.160,0.000,0.000
2.649,1.310,1.913,22.896,0.000,0.603
1.895,1.048,1.895,22.896,0.000,0.847
15.158,0.786,15.158,22.896,0.000,14.372
2.581,1.834,2.581,22.896,0.000,0.747
3.656,1.834,3.656,22.896,0.000,1.822
1.430,2.620,2.620,21.706,0.000,0.000
4.612,3.144,3.422,22.896,0.000,0.278
4.223,3.668,4.223,22.896,0.000,0.555
2.250,3.668,3.668,21.478,0.000,0.000
6.570,2.620,5.152,22.896,0.000,2.532
6.646,1.834,6.646,22.896,0.000,4.812
2.754,1.834,2.754,22.896,0.000,0.920
4.060,1.310,4.060,22.896,0.000,2.750
2.999,1.048,2.999,22.896,0.000,1.951
5.288,0.786,5.288,22.896,0.000,4.502
6.862,1.834,6.862,22.896,0.000,5.028
3.143,1.834,3.143,22.896,0.000,1.309
1.359,2.620,2.620,21.635,0.000,0.000
1.261,3.144,3.144,19.752,0.000,0.000
2.381,3.668,3.668,18.465,0.000,0.000
0.744,3.668,3.668,15.541,0.000,0.000
1.012,2.620,2.620,13.933,0.000,0.000
0.878,1.834,1.834,12.976,0.000,0.000
2.045,1.834,1.834,13.187,0.000,0.000
6.496,1.310,1.310,18.373,0.000,0.000
3.758,1.048,1.048,21.083,0.000,0.000
4.707,0.786,2.894,22.896,0.000,2.108
8.488,1.834,8.488,22.896,0.000,6.654
2.250,1.834,2.250,22.896,0.000,0.416
1.430,2.620,2.620,21.706,0.000,0.000
0.802,3.144,3.144,19.363,0.000,0.000
5.335,3.668,3.668,21.030,0.000,0.000
1.256,3.668,3.668,18.618,0.000,0.000
0.773,2.620,2.620,16.771,0.000,0.000
1.685,1.834,1.834,16.621,0.000,0.000
1.277,1.834,1.834,16.065,0.000,0.000
2.434,1.310,1.310,17.188,0.000,0.000
2.539,1.048,1.048,18.679,0.000,0.000
3.027,0.786,0.786,20.920,0.000,0.000
8.349,1.834,6.373,22.896,0.000,4.539
3.301,1.834,3.301,22.896,0.000,1.467
3.393,2.620,3.393,22.896,0.000,0.773
5.740,3.144,5.740,22.896,0.000,2.596
2.662,3.668,3.668,21.890,0.000,0.000
2.702,3.668,3.668,20.924,0.000,0.000
2.596,2.620,2.620,20.900,0.000,0.000
1.574,1.834,1.834,20.640,0.000,0.000
0.901,1.834,1.834,19.708,0.000,0.000
0.836,1.310,1.310,19.233,0.000,0.000
1.669,1.048,1.048,19.854,0.000,0.000
2.213,0.786,0.786,21.281,0.000,0.000
5.356,1.834,3.741,22.896,0.000,1.907
2.644,1.834,2.644,22.896,0.000,0.810
1.853,2.620,2.620,22.129,0.000,0.000
3.800,3.144,3.144,22.785,0.000,0.000
0.773,3.668,3.668,19.889,0.000,0.000
0.512,3.668,3.668,16.734,0.000,0.000
0.773,2.620,2.620,14.887,0.000,0.000
0.744,1.834,1.834,13.796,0.000,0.000
3.043,1.834,1.834,15.005,0.000,0.000
4.357,1.310,1.310,18.053,0.000,0.000
1.493,1.048,1.048,18.497,0.000,0.000
4.914,0.786,0.786,22.626,0.000,0.000
8.023,1.834,7.753,22.896,0.000,5.919
3.014,1.834,3.014,22.896,0.000,1.180
5.653,2.620,5.653,22.896,0.000,3.033
1.267,3.144,3.144,21.019,0.000,0.000
2.173,3.668,3.668,19.524,0.000,0.000
2.980,3.668,3.668,18.836,0.000,0.000
2.486,2.620,2.620,18.702,0.000,0.000
3.369,1.834,1.834,20.237,0.000,0.000
