Monat,Durchfluss_m3s,Datum
10/1977,0.8138250000000002,1977-10-01
11/1977,0.9568749999999998,1977-11-01
12/1977,1.4237750000000005,1977-12-01
01/1978,1.325625,1978-01-01
02/1978,1.0902250000000007,1978-02-01
03/1978,1.8362000000000003,1978-03-01
04/1978,2.3966499999999997,1978-04-01
05/1978,1.258225,1978-05-01
06/1978,0.8728750000000002,1978-06-01
07/1978,0.8658250000000001,1978-07-01
08/1978,0.6943,1978-08-01
09/1978,0.7096,1978-09-01
10/1978,0.8138250000000002,1978-10-01
11/1978,0.9568749999999998,1978-11-01
12/1978,1.4237750000000005,1978-12-01
01/1979,1.325625,1979-01-01
02/1979,1.0902250000000007,1979-02-01
03/1979,1.8362000000000003,1979-03-01
04/1979,2.3966499999999997,1979-04-01
05/1979,1.258225,1979-05-01
06/1979,0.8728750000000002,1979-06-01
07/1979,0.8658250000000001,1979-07-01
08/1979,0.6943,1979-08-01
09/1979,0.7096,1979-09-01
10/1979,0.8138250000000002,1979-10-01
11/1979,0.9568749999999998,1979-11-01
12/1979,1.4237750000000005,1979-12-01
01/1980,1.325625,1980-01-01
02/1980,1.0902250000000007,1980-02-01
03/1980,1.8362000000000003,1980-03-01
04/1980,2.3966499999999997,1980-04-01
05/1980,1.258225,1980-05-01
06/1980,0.8728750000000002,1980-06-01
07/1980,0.8658250000000001,1980-07-01
08/1980,0.6943,1980-08-01
09/1980,0.7096,1980-09-01
10/1980,0.8138250000000002,1980-10-01
11/1980,0.9568749999999998,1980-11-01
12/1980,1.4237750000000005,1980-12-01
01/1981,1.325625,1981-01-01
02/1981,1.0902250000000007,1981-02-01
03/1981,1.8362000000000003,1981-03-01
04/1981,2.3966499999999997,1981-04-01
05/1981,1.258225,1981-05-01
06/1981,0.8728750000000002,1981-06-01
07/1981,0.8658250000000001,1981-07-01
08/1981,0.6943,1981-08-01
09/1981,0.7096,1981-09-01
10/1981,0.8138250000000002,1981-10-01
11/1981,0.9568749999999998,1981-11-01
12/1981,1.4237750000000005,1981-12-01
01/1982,1.325625,1982-01-01
02/1982,1.0902250000000007,1982-02-01
03/1982,1.8362000000000003,1982-03-01
04/1982,2.3966499999999997,1982-04-01
05/1982,1.258225,1982-05-01
06/1982,0.8728750000000002,1982-06-01
07/1982,0.8658250000000001,1982-07-01
08/1982,0.6943,1982-08-01
09/1982,0.7096,1982-09-01
10/1982,0.8138250000000002,1982-10-01
11/1982,0.9568749999999998,1982-11-01
12/1982,1.4237750000000005,1982-12-01
01/1983,1.325625,1983-01-01
02/1983,1.0902250000000007,1983-02-01
03/1983,1.8362000000000003,1983-03-01
04/1983,2.3966499999999997,1983-04-01
05/1983,1.258225,1983-05-01
06/1983,0.8728750000000002,1983-06-01
07/1983,0.8658250000000001,1983-07-01
08/1983,0.6943,1983-08-01
09/1983,0.7096,1983-09-01
10/1983,0.8138250000000002,1983-10-01
11/1983,0.9568749999999998,1983-11-01
12/1983,1.4237750000000005,1983-12-01
01/1984,1.325625,1984-01-01
02/1984,1.0902250000000007,1984-02-01
03/1984,1.8362000000000003,1984-03-01
04/1984,2.3966499999999997,1984-04-01
05/1984,1.258225,1984-05-01
06/1984,0.8728750000000002,1984-06-01
07/1984,0.8658250000000001,1984-07-01
08/1984,0.6943,1984-08-01
09/1984,0.7096,1984-09-01
10/1984,0.8138250000000002,1984-10-01
11/1984,0.9568749999999998,1984-11-01
12/1984,1.4237750000000005,1984-12-01
01/1985,1.325625,1985-01-01
02/1985,1.0902250000000007,1985-02-01
03/1985,1.8362000000000003,1985-03-01
04/1985,2.3966499999999997,1985-04-01
05/1985,1.258225,1985-05-01
06/1985,0.8728750000000002,1985-06-01
07/1985,0.8658250000000001,1985-07-01
08/1985,0.6943,1985-08-01
09/1985,0.7096,1985-09-01
10/1985,0.8138250000000002,1985-10-01
11/1985,0.9568749999999998,1985-11-01
12/1985,1.4237750000000005,1985-12-01
01/1986,1.325625,1986-01-01
02/1986,1.0902250000000007,1986-02-01
03/1986,1.8362000000000003,1986-03-01
04/1986,2.3966499999999997,1986-04-01
05/1986,1.258225,1986-05-01
06/1986,0.8728750000000002,1986-06-01
07/1986,0.8658250000000001,1986-07-01
08/1986,0.6943,1986-08-01
09/1986,0.7096,1986-09-01
10/1986,0.8138250000000002,1986-10-01
11/1986,0.9568749999999998,1986-11-01
12/1986,1.4237750000000005,1986-12-01
01/1987,1.325625,1987-01-01
02/1987,1.0902250000000007,1987-02-01
03/1987,1.8362000000000003,1987-03-01
04/1987,2.3966499999999997,1987-04-01
05/1987,1.258225,1987-05-01
06/1987,0.8728750000000002,1987-06-01
07/1987,0.8658250000000001,1987-07-01
08/1987,0.6943,1987-08-01
09/1987,0.7096,1987-09-01
10/1987,0.8138250000000002,1987-10-01
11/1987,0.9568749999999998,1987-11-01
12/1987,1.4237750000000005,1987-12-01
01/1988,1.325625,1988-01-01
02/1988,1.0902250000000007,1988-02-01
03/1988,1.8362000000000003,1988-03-01
04/1988,2.3966499999999997,1988-04-01
05/1988,1.258225,1988-05-01
06/1988,0.8728750000000002,1988-06-01
07/1988,0.8658250000000001,1988-07-01
08/1988,0.6943,1988-08-01
09/1988,0.7096,1988-09-01
10/1988,0.8138250000000002,1988-10-01
11/1988,0.9568749999999998,1988-11-01
12/1988,1.4237750000000005,1988-12-01
01/1989,1.325625,1989-01-01
02/1989,1.0902250000000007,1989-02-01
03/1989,1.8362000000000003,1989-03-01
04/1989,2.3966499999999997,1989-04-01
05/1989,1.258225,1989-05-01
06/1989,0.8728750000000002,1989-06-01
07/1989,0.8658250000000001,1989-07-01
08/1989,0.6943,1989-08-01
09/1989,0.7096,1989-09-01
10/1989,0.8138250000000002,1989-10-01
11/1989,0.9568749999999998,1989-11-01
12/1989,1.4237750000000005,1989-12-01
01/1990,1.325625,1990-01-01
02/1990,1.0902250000000007,1990-02-01
03/1990,1.8362000000000003,1990-03-01
04/1990,2.3966499999999997,1990-04-01
05/1990,1.258225,1990-05-01
06/1990,0.8728750000000002,1990-06-01
07/1990,0.8658250000000001,1990-07-01
08/1990,0.6943,1990-08-01
09/1990,0.7096,1990-09-01
10/1990,0.8138250000000002,1990-10-01
11/1990,0.9568749999999998,1990-11-01
12/1990,1.4237750000000005,1990-12-01
01/1991,1.325625,1991-01-01
02/1991,1.0902250000000007,1991-02-01
03/1991,1.8362000000000003,1991-03-01
04/1991,2.3966499999999997,1991-04-01
05/1991,1.258225,1991-05-01
06/1991,0.8728750000000002,1991-06-01
07/1991,0.8658250000000001,1991-07-01
08/1991,0.6943,1991-08-01
09/1991,0.7096,1991-09-01
10/1991,0.8138250000000002,1991-10-01
11/1991,0.9568749999999998,1991-11-01
12/1991,1.4237750000000005,1991-12-01
01/1992,1.325625,1992-01-01
02/1992,1.0902250000000007,1992-02-01
03/1992,1.8362000000000003,1992-03-01
04/1992,2.3966499999999997,1992-04-01
05/1992,1.258225,1992-05-01
06/1992,0.8728750000000002,1992-06-01
07/1992,0.8658250000000001,1992-07-01
08/1992,0.6943,1992-08-01
09/1992,0.7096,1992-09-01
10/1992,0.8138250000000002,1992-10-01
11/1992,0.9568749999999998,1992-11-01
12/1992,1.4237750000000005,1992-12-01
01/1993,1.325625,1993-01-01
02/1993,1.0902250000000007,1993-02-01
03/1993,1.8362000000000003,1993-03-01
04/1993,2.3966499999999997,1993-04-01
05/1993,1.258225,1993-05-01
06/1993,0.8728750000000002,1993-06-01
07/1993,0.8658250000000001,1993-07-01
08/1993,0.6943,1993-08-01
09/1993,0.7096,1993-09-01
10/1993,0.8138250000000002,1993-10-01
11/1993,0.9568749999999998,1993-11-01
12/1993,1.4237750000000005,1993-12-01
01/1994,1.325625,1994-01-01
02/1994,1.0902250000000007,1994-02-01
03/1994,1.8362000000000003,1994-03-01
04/1994,2.3966499999999997,1994-04-01
05/1994,1.258225,1994-05-01
06/1994,0.8728750000000002,1994-06-01
07/1994,0.8658250000000001,1994-07-01
08/1994,0.6943,1994-08-01
09/1994,0.7096,1994-09-01
10/1994,0.8138250000000002,1994-10-01
11/1994,0.9568749999999998,1994-11-01
12/1994,1.4237750000000005,1994-12-01
01/1995,1.325625,1995-01-01
02/1995,1.0902250000000007,1995-02-01
03/1995,1.8362000000000003,1995-03-01
04/1995,2.3966499999999997,1995-04-01
05/1995,1.258225,1995-05-01
