Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
3.034,2.537,3.034,26.006,0.000,0.497
2.709,3.044,3.044,25.671,0.000,0.000
0.212,3.552,3.552,22.331,0.000,0.000
0.734,3.552,3.552,19.512,0.000,0.000
0.819,2.537,2.537,17.794,0.000,0.000
3.705,1.776,1.776,19.723,0.000,0.000
7.706,1.776,1.776,25.653,0.000,0.000
2.415,1.268,2.062,26.006,0.000,0.794
0.561,1.015,1.015,25.552,0.000,0.000
2.279,0.761,1.825,26.006,0.000,1.064
-4.550,1.776,1.776,19.680,0.000,0.000
-0.497,1.776,1.776,17.407,0.000,0.000
-0.308,2.537,2.537,14.562,0.000,0.000
-0.496,3.044,3.044,11.022,0.000,0.000
1.058,3.552,3.552,8.528,0.000,0.000
1.793,3.552,3.552,6.769,0.000,0.000
0.716,2.537,2.537,4.948,0.000,0.000
1.490,1.776,1.776,4.661,0.000,0.000
0.820,1.776,1.776,3.706,0.000,0.000
-0.123,1.268,1.268,2.315,0.000,0.000
2.591,1.015,1.015,3.891,0.000,0.000
3.579,0.761,0.761,6.709,0.000,0.000
7.490,1.776,1.776,12.423,0.000,0.000
3.527,1.776,1.776,14.174,0.000,0.000
3.229,2.537,2.537,14.866,0.000,0.000
4.323,3.044,3.044,16.145,0.000,0.000
2.011,3.552,3.552,14.604,0.000,0.000
0.102,3.552,3.552,11.153,0.000,0.000
-0.490,2.537,2.537,8.127,0.000,0.000
1.525,1.776,1.776,7.876,0.000,0.000
1.438,1.776,1.776,7.538,0.000,0.000
4.164,1.268,1.268,10.434,0.000,0.000
1.593,1.015,1.015,11.012,0.000,0.000
3.011,0.761,0.761,13.262,0.000,0.000
1.877,1.776,1.776,13.363,0.000,0.000
1.844,1.776,1.776,13.431,0.000,0.000
0.785,2.537,2.537,11.679,0.000,0.000
0.298,3.044,3.044,8.933,0.000,0.000
0.868,3.552,3.552,6.249,0.000,0.000
-0.766,3.552,3.552,1.931,0.000,0.000
-0.474,2.537,3.618,0.000,-1.081,0.000
2.244,1.776,1.776,0.468,0.000,0.000
1.515,1.776,1.776,0.207,0.000,0.000
-0.849,1.268,3.178,0.000,-1.910,0.000
1.027,1.015,1.015,0.012,0.000,0.000
7.950,0.761,0.761,7.201,0.000,0.000
0.246,1.776,1.776,5.671,0.000,0.000
-0.222,1.776,1.776,3.673,0.000,0.000
0.582,2.537,2.537,1.718,0.000,0.000
1.052,3.044,3.319,0.000,-0.275,0.000
2.597,3.552,4.507,0.000,-0.955,0.000
3.641,3.552,3.552,0.089,0.000,0.000
3.725,2.537,2.537,1.277,0.000,0.000
0.852,1.776,1.776,0.353,0.000,0.000
0.808,1.776,2.391,0.000,-0.615,0.000
0.126,1.268,2.410,0.000,-1.142,0.000
5.001,1.015,1.015,3.986,0.000,0.000
3.781,0.761,0.761,7.006,0.000,0.000
8.867,1.776,1.776,14.097,0.000,0.000
3.773,1.776,1.776,16.094,0.000,0.000
2.568,2.537,2.537,16.125,0.000,0.000
3.309,3.044,3.044,16.389,0.000,0.000
2.524,3.552,3.552,15.361,0.000,0.000
3.607,3.552,3.552,15.417,0.000,0.000
4.387,2.537,2.537,17.266,0.000,0.000
1.193,1.776,1.776,16.684,0.000,0.000
0.753,1.776,1.776,15.661,0.000,0.000
