Monat,Rohdaten,Trendbereinigte Zeitreihe,Trendkomponente,Saisonale Komponente (Mittel),Saisonale Komponente (Standardabweichung),Saisonbereinigte Zeitreihe,Normierte Zeitreihe,Autokorrelation (Saisonfigur),Autokorrelative Komponente,Zufallskomponente
03/1961,3.454,3.523399282331955,-0.06939928233195491,2.2979499999999997,0.9530869307151368,1.1560500000000005,1.2129533652639355,0.2151647235844674,0.2609847755578642,0.9519685897060712
04/1961,2.641,2.710088771001611,-0.06908877100161082,2.5101500000000003,1.3924084090165498,0.1308499999999997,0.09397386510500773,0.5963034119121111,0.05603693639268459,0.03793692871232314
05/1961,2.789,2.8577782596712664,-0.06877825967126627,1.7459500000000001,0.9186538779649276,1.04305,1.1354113067161316,0.5260739483955815,0.597310309177142,0.5381009975389895
06/1961,1.993,2.061467748340922,-0.06846774834092195,1.367525,0.6339820970461232,0.625475,0.9865814869445686,0.3795366295995559,0.37444381238025987,0.6121376745643088
07/1961,0.745,0.8131572370105778,-0.06815723701057785,1.1959250000000001,0.7332195233182216,-0.45092500000000013,-0.6149931714301831,0.35677549325117197,-0.21941449208310612,-0.3955786793470769
08/1961,0.783,0.8508467256802336,-0.06784672568023353,1.0531000000000001,0.6352678490211826,-0.2701000000000001,-0.4251749878671946,0.45395166307760093,-0.19300889284131179,-0.2321660950258828
09/1961,0.59,0.6575362143498892,-0.06753621434988921,1.0156249999999998,0.6514575461033513,-0.4256249999999998,-0.6533426507158396,0.5062344649246262,-0.33074456719757,-0.32259808351826963
10/1961,0.634,0.7012257030195449,-0.06722570301954489,1.0969250000000001,0.6636755000563151,-0.46292500000000014,-0.6975170847209508,0.003411052261816265,-0.0023792672294928865,-0.6951378174914579
11/1961,0.696,0.7629151916892005,-0.06691519168920057,1.2701749999999996,0.8448843082783583,-0.5741749999999997,-0.6795900863279262,0.45176513193208645,-0.3070151050096736,-0.37257498131825256
12/1961,0.758,0.8246046803588563,-0.06660468035885625,1.8556750000000002,1.1997986161748144,-1.0976750000000002,-0.9148827021484625,0.4765795047829637,-0.4360143451244139,-0.47886835702404856
01/1962,1.031,1.0972941690285118,-0.06629416902851193,1.855,1.1293969187137,-0.8240000000000001,-0.7295929237512666,0.26051671568935936,-0.19007115228587718,-0.5395217714653895
02/1962,1.062,1.1279836576981677,-0.06598365769816761,1.5890500000000003,0.8372110531401267,-0.5270500000000002,-0.629530627938074,0.2407521665102482,-0.1515608625606483,-0.47796976537742575
03/1962,1.71,1.7756731463678233,-0.06567314636782329,2.2979499999999997,0.9530869307151368,-0.5879499999999998,-0.6168902133185677,0.2151647235844674,-0.13273301223065276,-0.484157201087915
04/1962,3.206,3.271362635037479,-0.06536263503747897,2.5101500000000003,1.3924084090165498,0.6958499999999996,0.4997456173734792,0.5963034119121111,0.29800001672793003,0.2017456006455492
05/1962,1.586,1.6510521237071347,-0.06505212370713465,1.7459500000000001,0.9186538779649276,-0.15995000000000004,-0.17411345430156297,0.5260739483955815,-0.09159655237321689,-0.08251690192834608
06/1962,0.841,0.9057416123767903,-0.06474161237679033,1.367525,0.6339820970461232,-0.5265250000000001,-0.830504524423021,0.3795366295995559,-0.3152068880666955,-0.5152976363563255
07/1962,0.965,1.029431101046446,-0.06443110104644612,1.1959250000000001,0.7332195233182216,-0.23092500000000016,-0.3149466055608251,0.35677549325117197,-0.11236523054674567,-0.2025813750140794
08/1962,0.683,0.7471205897161017,-0.06412058971610168,1.0531000000000001,0.6352678490211826,-0.3701000000000001,-0.5825889041453117,0.45395166307760093,-0.2644672019273213,-0.3181217022179904
09/1962,0.496,0.5598100783857574,-0.06381007838575736,1.0156249999999998,0.6514575461033513,-0.5196249999999998,-0.7976344784216579,0.5062344649246262,-0.4037900633892213,-0.3938444150324366
